Size,BubbleSort,InsertionSort,HeapSort,MergeSort,QuickSort,SequentialSearch,BinarySearch
1549,6269,1342,235,175,134,2,0
3928,43978,8593,683,498,393,4,0
3332,31567,6168,565,416,328,4,0
1315,4361,969,196,143,112,2,0
756,1316,323,103,79,59,1,0
4383,54446,10688,769,562,444,6,0
1541,6144,1334,236,170,137,2,0
4335,53202,10472,763,561,428,6,0
952,2163,510,134,101,79,1,0
1621,6824,1468,248,181,141,3,0
1009,2442,574,143,116,90,1,0
4838,66402,13051,863,625,486,6,0
3199,29132,5709,538,391,316,4,0
1827,8946,1888,288,211,164,2,0
2213,13879,2762,357,263,210,3,0
4639,61353,11997,818,608,464,5,0
308,212,62,36,28,22,0,0
862,1738,417,124,91,72,1,0
2938,24366,4833,490,358,284,5,0
98,23,6,9,7,5,0,0
3089,27111,5337,522,376,300,4,0
3704,38828,7580,643,462,372,3,0
3604,36808,7264,617,452,347,5,0
3837,42249,8305,661,490,385,5,0
2491,17170,3463,407,297,246,4,0
1144,3214,735,171,124,97,2,0
3842,42039,8210,656,480,380,6,0
985,2337,538,140,105,81,1,0
4575,59663,11622,794,587,457,8,0
3707,39003,7662,638,473,375,5,0
2817,22410,4412,467,346,272,4,0
4377,54392,10737,760,554,432,7,0
4421,55742,10885,767,568,438,6,0
749,1305,327,133,77,59,1,0
4065,47085,9215,713,515,417,5,0
4857,66452,13101,889,632,489,7,0
3709,39033,7674,642,472,365,5,0
3933,44015,8702,684,488,383,6,0
3818,41423,8154,665,488,382,4,0
4551,58859,11584,797,588,460,5,0
4360,54281,10609,759,585,439,4,0
4743,63635,12489,864,616,490,6,0
4037,46341,9078,727,506,396,5,0
3114,27501,5443,527,383,307,3,0
2105,12043,2469,335,247,192,3,0
2813,22609,4441,474,340,264,4,0
2071,11628,2436,339,242,187,3,0
1092,2915,670,160,118,91,2,0
4793,65249,12749,852,621,475,5,0
2570,18482,3702,422,307,239,3,0
575,737,187,80,57,47,1,0
178,71,19,19,15,11,0,0
2964,24914,4967,507,364,290,4,0
1257,3953,898,184,137,106,2,0
153,53,15,18,13,9,0,0
2055,11480,2372,324,245,188,3,0
4291,52429,10216,750,550,424,5,0
2212,13488,2728,360,266,212,3,0
3345,31768,6251,567,420,318,5,0
1377,4796,1063,212,153,126,2,0
2202,13261,2705,353,260,206,5,0
1452,5347,1191,226,161,133,2,0
3338,31713,6209,574,429,317,5,0
1243,3858,859,187,136,105,2,0
3295,30846,6048,572,411,324,5,0
1193,3495,794,174,132,101,2,0
4415,55201,10891,776,574,438,6,0
2249,13899,2805,363,267,211,4,0
3485,34420,6758,599,439,350,5,0
3304,31093,6119,553,407,316,4,0
3023,25697,5056,498,370,286,4,0
2170,12936,2640,343,253,201,3,0
1351,4630,1022,200,151,115,2,0
185,77,20,20,16,11,0,0
4780,64965,12844,858,609,479,6,0
2294,14541,2988,369,270,212,3,0
3469,34194,6792,590,441,336,4,0
2757,21380,4237,449,339,279,4,0
1533,6069,1328,242,177,133,2,0
657,977,249,88,69,51,1,0
2485,17129,3462,404,298,230,4,0
3188,28652,5675,542,397,309,3,0
33,3,1,2,2,1,0,0
4044,46711,9126,721,519,408,5,0
1871,9440,1953,294,221,167,3,0
4593,59911,11739,804,591,465,7,0
2560,18390,3625,416,302,244,3,0
750,1319,343,103,80,62,1,0
2850,22830,4530,466,355,273,4,0
3550,35744,7056,603,446,343,5,0
3429,33385,6553,586,437,327,5,0
2515,17644,3560,408,298,234,3,0
4519,58070,11365,794,599,462,6,0
4167,49630,9716,731,531,405,5,0
2740,21155,4217,447,340,262,5,0
1159,3278,754,174,129,107,2,0
2988,25313,5012,496,359,289,4,0
1153,3313,773,173,129,100,2,0
4027,46195,9020,688,511,415,4,0
1451,5382,1201,223,161,125,2,0
1244,3843,879,182,141,109,2,0
1940,10175,2099,308,229,181,3,0
4005,45743,8964,683,497,395,5,0
2642,19534,3891,443,320,251,3,0
55,8,2,4,4,3,0,0
1628,6944,1478,263,184,152,3,0
2189,13076,2681,347,259,199,3,0
2963,24886,4940,492,360,281,4,0
4823,65655,12898,852,621,477,5,0
3535,35633,7032,609,439,352,5,0
634,926,252,87,64,51,1,0
3880,43111,8499,673,495,380,6,0
1458,5450,1196,223,162,133,2,0
3878,43076,8415,661,487,374,4,0
611,844,213,80,62,48,1,0
1196,3489,809,181,133,101,2,0
3431,33691,6548,587,431,353,5,0
1859,9250,1930,295,219,168,3,0
44,5,1,3,4,2,0,0
53,7,3,4,4,2,0,0
4809,65828,13009,861,620,486,5,0
1542,6107,1352,242,173,135,2,0
1011,2468,580,152,107,83,2,0
713,1154,290,102,73,56,1,0
4237,51201,9919,743,539,420,4,0
619,862,233,82,63,48,1,0
2711,20702,4134,451,326,254,3,0
2807,22247,4411,471,335,263,4,0
1250,3859,889,183,136,110,2,0
2184,13077,2662,354,258,200,3,0
4052,46834,9187,701,524,398,5,0
3568,36292,7060,610,443,349,5,0
4841,66233,13011,867,625,492,6,0
2716,20710,4183,446,335,259,4,0
3375,32497,6365,566,423,330,5,0
1029,2532,598,149,110,84,2,0
3258,29987,5961,543,398,316,5,0
1957,10305,2155,305,225,177,3,0
4666,61671,12110,837,609,472,6,0
4717,63224,12412,838,612,472,6,0
1118,3049,707,163,123,101,2,0
2477,17077,3453,410,300,231,3,0
4565,59522,11743,803,587,458,6,0
2349,15275,3061,407,280,223,3,0
3973,45186,8749,684,502,391,6,0
4314,52999,10346,774,547,443,3,0
4308,52803,10429,768,546,439,4,0
1278,4133,952,190,143,111,2,0
3744,39696,7859,684,477,366,4,0
2344,15219,3115,382,281,217,3,0
4757,64249,12594,847,607,472,5,0
3113,27454,5394,526,375,305,5,0
548,682,176,77,54,42,1,0
1809,8740,1857,289,213,163,3,0
3481,34508,6859,614,437,342,4,0
4979,70145,13849,887,647,504,5,0
848,1681,407,119,90,77,1,0
4182,49766,9776,730,528,416,6,0
4208,50633,9910,737,531,415,5,0
823,1566,377,117,88,68,1,0
761,1319,329,104,77,65,1,0
3277,30369,6017,563,406,329,5,0
508,577,149,67,56,38,1,0
4654,61552,12061,835,599,487,4,0
3949,44472,8687,692,495,385,6,0
2395,16058,3199,388,290,228,4,0
3790,40873,8019,661,477,384,6,0
4505,57950,11441,794,574,449,5,0
